,Stakeholders,Target,content,value_0,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22,value_23,value_24,value_25,value_26,value_27,value_28,value_29,value_30,value_31,value_32,value_33,value_34,value_35,value_36,value_37,value_38,value_39,value_40,value_41,value_42,value_43,value_44,value_45,value_46,value_47,value_48,value_49
10,Government,Residents,"Tax; 
Civic service; 
Equity; 
Cohension; 
Approval rate; 
Safety & Security",6,6.359282189928469,10.027677251677826,6.9903877692502325,11.013634298124396,9.757655636397063,10.713441313872273,7.888202505819107,6.660888948857508,6.713391271929696,10.682916430076489,9.187895403989502,8.570523046993083,7.02449516425969,9.313004375187752,6.576664711491626,9.18581922417697,7.545503121374726,7.803095552758494,8.489212927327417,8.800704629095975,8.360321328815152,9.13338044753155,8.76035328580341,8.125464270216396,7.381373925153589,10.492985862812638,8.00127933767005,9.970188623908331,10.42883736194274,8.049202540787999,8.581845339326254,9.030859504722725,8.912689256317698,10.070669437662875,10.903716712111125,8.85392542589455,9.14390877423801,9.130360490398344,10.659722901792492,9.845569911288072,9.721554836479509,10.768632915311596,11.128490894268793,9.847130824073425,11.198419669383373,10.851543656631792,10.62465774462499,10.54173078763895,11.091863045764278
11,Government,Workforce,"Tax; 
Equity; 
Safety & Security",3,3.947648613892767,4.9536976582129055,5.445260315042413,5.597958954914458,5.664504147949555,5.549929277826996,5.85473060075022,4.445250125899319,5.449318190201506,5.5614147968494425,4.539297272629794,4.807387647058277,4.432471429399319,5.585376857288882,3.7282117669578883,5.1075732382513905,3.8226296069369443,5.259392039958332,5.512672683542751,3.98091879206234,5.464760922114369,4.806469048694713,4.923639739295906,3.4981326805026445,3.945453805455981,4.729153163363103,4.662124694311901,4.944890486227143,5.216471286626458,4.946398192937632,3.5726190288568356,3.543451472055526,3.715239721985391,4.400224698251117,4.206927894181273,4.6734941533861845,4.12296230097554,3.549505898105099,4.082087684013279,3.4069463238267237,4.362836104083008,4.043872575236792,4.106245320006453,3.273289332904657,3.692494323718827,3.677184455207999,3.9323784262806236,3.304505393041298,3.9341055588880836
12,Industry group,Developer,Build up area,1,1.2582554924645195,1.0037490427561302,1.6788993440647486,1.0608427671647513,1.296796434378501,1.1036308449426337,1.6765935496502027,1.416676806667628,1.744310766652419,1.1205132939724003,1.0299441513096637,1.239904022499205,1.3893692652817857,1.3943167926192108,1.2338112041495197,1.260142810344607,1.1137664394518842,1.5585044000666257,1.5732852514722198,1.0208291292777145,1.5943451267642619,1.250545272402683,1.3676322800768972,1.0202044820114369,1.295229117727694,1.04468829101115,1.4551696099484033,1.2324575211338185,1.2489310497843455,1.5627003921407403,1.1088387761116971,1.0264749057273261,1.108299474627434,1.1991403981130326,1.010119841678708,1.5086490287070462,1.2916384808068169,1.1095766133949567,1.0467629783183734,1.0020226567283432,1.3614864578019867,1.1303770591167905,1.1281081036379832,1.0854443408336025,1.0074280961548217,1.0608092095743455,1.2051752226129477,1.0227437484833763,1.1450663071184706
13,Industry group,Government,"Tax rate; 
Regulation; 
Safety & Security",4,5.263531485190356,6.604930210950541,7.2603470867232165,7.463945273219277,7.552672197266073,7.399905703769328,7.806307467666961,5.927000167865758,7.265757586935342,7.415219729132589,6.052396363506391,6.409850196077702,5.909961905865759,7.447169143051843,4.970949022610518,6.810097651001854,5.0968394759159255,7.012522719944442,7.350230244723668,5.307891722749787,7.286347896152492,6.408625398259617,6.564852985727875,4.664176907336859,5.260605073941308,6.305537551150804,6.216166259082534,6.593187314969525,6.955295048835277,6.59519759058351,4.763492038475781,4.724601962740701,4.953652962647188,5.866966264334823,5.609237192241698,6.231325537848246,5.497283067967387,4.732674530806799,5.442783578684373,4.542595098435632,5.81711480544401,5.3918301003157225,5.474993760008603,4.364385777206209,4.923325764958435,4.902912606943999,5.2431712350408315,4.406007190721731,5.245474078517445
14,Industry group,Nonprofit Institution,"Innovation; 
Employment",2,2.516510984929039,2.0074980855122604,3.3577986881294972,2.1216855343295027,2.593592868757002,2.2072616898852675,3.3531870993004054,2.833353613335256,3.488621533304838,2.2410265879448006,2.0598883026193273,2.47980804499841,2.7787385305635715,2.7886335852384216,2.4676224082990394,2.520285620689214,2.2275328789037685,3.1170088001332514,3.1465705029444395,2.041658258555429,3.1886902535285238,2.501090544805366,2.7352645601537944,2.0404089640228738,2.590458235455388,2.0893765820223,2.9103392198968066,2.464915042267637,2.497862099568691,3.1254007842814806,2.2176775522233942,2.0529498114546523,2.216598949254868,2.3982807962260653,2.020239683357416,3.0172980574140924,2.5832769616136337,2.2191532267899134,2.093525956636747,2.0040453134566865,2.7229729156039735,2.260754118233581,2.2562162072759664,2.170888681667205,2.0148561923096433,2.121618419148691,2.4103504452258955,2.0454874969667527,2.290132614236941
15,Industry group,Workforce,Employment,1,1.2582554924645195,1.0037490427561302,1.6788993440647486,1.0608427671647513,1.296796434378501,1.1036308449426337,1.6765935496502027,1.416676806667628,1.744310766652419,1.1205132939724003,1.0299441513096637,1.239904022499205,1.3893692652817857,1.3943167926192108,1.2338112041495197,1.260142810344607,1.1137664394518842,1.5585044000666257,1.5732852514722198,1.0208291292777145,1.5943451267642619,1.250545272402683,1.3676322800768972,1.0202044820114369,1.295229117727694,1.04468829101115,1.4551696099484033,1.2324575211338185,1.2489310497843455,1.5627003921407403,1.1088387761116971,1.0264749057273261,1.108299474627434,1.1991403981130326,1.010119841678708,1.5086490287070462,1.2916384808068169,1.1095766133949567,1.0467629783183734,1.0020226567283432,1.3614864578019867,1.1303770591167905,1.1281081036379832,1.0854443408336025,1.0074280961548217,1.0608092095743455,1.2051752226129477,1.0227437484833763,1.1450663071184706
16,Local Business Owners,Developer,Build up area,1,1.6818641425474024,1.3249714152975653,1.1560360277268793,1.1035515164811824,1.0769276262219885,1.1107956027453207,1.0087060327132793,1.4731750351894544,1.136790688025965,1.0990006343481848,1.4387399480254193,1.3316754696686144,1.4398815406749328,1.0535158115161638,1.670078010601876,1.2088873189592313,1.6286497069856614,1.1409796744736256,1.0118459273065443,1.512386765872956,1.0122679850998797,1.2272246530087252,1.1723088389558678,1.625551472952497,1.4745418947467077,1.2064807318534103,1.211283833773255,1.1058443748814595,1.0129293898918648,1.09576585106126,1.4608536673339272,1.4683818434855531,1.4062523159862828,1.1224146956098213,1.1725940396361043,1.015696733643862,1.184376723486848,1.3686966382053194,1.1766165380495448,1.3570490247236449,1.0182544027847618,1.074850788331277,1.0171434139838844,1.2733671884874935,1.1261686256146162,1.1306001809870225,1.0240484866162207,1.220301120243465,1.0062898519208165
17,Local Business Owners,Government,"Safety & Security; 
Tax rate; 
Regulation",3,5.218474564141415,5.917364775837211,3.8766703660288035,5.726085202863751,5.004897723480017,5.571423551235057,3.8510680499394496,4.6147448114647975,3.626757954322145,5.496876817976795,5.765684662777061,5.082701988566504,4.58400825557876,4.562973913979741,5.037012186314957,4.953806764095264,5.367279409538276,4.006817863179331,3.8283547110457246,5.455591701848064,3.718529497121223,4.73650719051284,4.337669415932817,5.314173653325824,4.483392136513023,5.214530485889884,3.9304673657864555,4.5650510474700665,4.508466306949016,3.5455945696991913,4.628663702523526,4.869172285330206,4.609098246061938,4.170047590741484,4.6943504880534626,3.194637268196632,3.801177029015633,4.326865972536187,4.471648363206793,4.472025427812628,3.333139939031332,3.8772937628802513,3.773351251044156,3.83705787586633,4.048715912098211,3.886557369446029,3.3889982182904435,3.897177508321564,3.5177761932951217
18,Local Business Owners,Local Business Owners,Displacement,1,1.6818641425474024,1.3249714152975653,1.1560360277268793,1.1035515164811824,1.0769276262219885,1.1107956027453207,1.0087060327132793,1.4731750351894544,1.136790688025965,1.0990006343481848,1.4387399480254193,1.3316754696686144,1.4398815406749328,1.0535158115161638,1.670078010601876,1.2088873189592313,1.6286497069856614,1.1409796744736256,1.0118459273065443,1.512386765872956,1.0122679850998797,1.2272246530087252,1.1723088389558678,1.625551472952497,1.4745418947467077,1.2064807318534103,1.211283833773255,1.1058443748814595,1.0129293898918648,1.09576585106126,1.4608536673339272,1.4683818434855531,1.4062523159862828,1.1224146956098213,1.1725940396361043,1.015696733643862,1.184376723486848,1.3686966382053194,1.1766165380495448,1.3570490247236449,1.0182544027847618,1.074850788331277,1.0171434139838844,1.2733671884874935,1.1261686256146162,1.1306001809870225,1.0240484866162207,1.220301120243465,1.0062898519208165
19,Local Business Owners,Nonprofit Institution,Visitors,1,1.6818641425474024,1.3249714152975653,1.1560360277268793,1.1035515164811824,1.0769276262219885,1.1107956027453207,1.0087060327132793,1.4731750351894544,1.136790688025965,1.0990006343481848,1.4387399480254193,1.3316754696686144,1.4398815406749328,1.0535158115161638,1.670078010601876,1.2088873189592313,1.6286497069856614,1.1409796744736256,1.0118459273065443,1.512386765872956,1.0122679850998797,1.2272246530087252,1.1723088389558678,1.625551472952497,1.4745418947467077,1.2064807318534103,1.211283833773255,1.1058443748814595,1.0129293898918648,1.09576585106126,1.4608536673339272,1.4683818434855531,1.4062523159862828,1.1224146956098213,1.1725940396361043,1.015696733643862,1.184376723486848,1.3686966382053194,1.1766165380495448,1.3570490247236449,1.0182544027847618,1.074850788331277,1.0171434139838844,1.2733671884874935,1.1261686256146162,1.1306001809870225,1.0240484866162207,1.220301120243465,1.0062898519208165
20,Local Business Owners,Residents,"Consumption; 
Visitors",3,5.052351386107233,4.0463023417870945,3.5547396849575876,3.402041045085542,3.335495852050446,3.4500707221730043,3.145269399249779,4.554749874100681,3.5506818097984936,3.438585203150558,4.460702727370206,4.192612352941723,4.567528570600681,3.4146231427111178,5.271788233042113,3.8924267617486095,5.177370393063056,3.740607960041668,3.48732731645725,5.01908120793766,3.535239077885631,4.193530951305287,4.076360260704095,5.501867319497355,5.054546194544018,4.270846836636897,4.337875305688099,4.055109513772857,3.7835287133735425,4.053601807062368,5.427380971143164,5.4565485279444745,5.284760278014609,4.599775301748883,4.793072105818727,4.3265058466138155,4.87703769902446,5.4504941018949005,4.91791231598672,5.593053676173277,4.637163895916992,4.956127424763208,4.893754679993547,5.726710667095343,5.307505676281174,5.322815544792001,5.067621573719377,5.695494606958702,5.065894441111917
21,Local Business Owners,Workforce,"Consumption; 
Visitors; 
Employment",3,5.820358905035766,3.9861613741610866,5.504806115374883,3.493182850937802,4.121172181801469,3.6432793430638633,5.0558987470904455,5.669555525571247,5.643304364035152,3.6585417849617556,4.406052298005249,4.714738476503459,5.487752417870156,4.343497812406124,5.711667644254187,4.407090387911515,5.227248439312637,5.098452223620754,4.755393536336292,4.5996476854520125,4.819839335592424,4.433309776234225,4.619823357098296,4.937267864891801,5.309313037423205,3.753507068593681,4.999360331164975,4.014905688045834,3.7855813190286307,4.975398729606001,4.709077330336873,4.484570247638638,4.54365537184115,3.9646652811685623,3.5481416439444375,4.573037287052726,4.428045612880995,4.434819754800828,3.6701385491037546,4.077215044355965,4.1392225817602455,3.6156835423442026,3.435754552865603,4.076434587963288,3.4007901653083135,3.574228171684104,3.6876711276875054,3.729134606180524,3.4540684771178607
22,Nonprofit Institution,Developer,Opportunity,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,Nonprofit Institution,Government,"Regulation; 
Safety & Security",3,3.172882136499208,4.942450529944515,3.4085622828481665,5.415430653420204,4.774114844814051,5.239036742999095,3.8249499517996126,3.1952197058964344,3.2163858902442497,5.1998749149322405,4.449464818700803,4.087675579560662,3.2643636335539616,4.4024264794312495,3.026778154509329,4.32714480721757,3.481330288581291,3.5838788397584547,3.792816929126092,3.918431404229197,3.6817255418215833,4.054833231486663,3.8207428990652135,3.4375192344683336,3.059766452272899,4.595088290329652,3.296615864466691,4.247517922825688,4.469678137273421,3.258297016515412,3.246102700521744,3.4640267548735473,3.390341298103089,3.8028035039120187,4.17656836914515,3.147547067265046,3.248046858555089,3.220776057920229,3.9417987490581594,3.400878353641694,3.2783767306770475,3.6527413978864205,3.7219210090925037,3.0169563104038493,3.670210035254362,3.4947568264849624,3.3168527584417804,3.236274147591169,3.4989066375326727
24,Nonprofit Institution,Industry group,Innovation,1,1.2582554924645195,1.0037490427561302,1.6788993440647486,1.0608427671647513,1.296796434378501,1.1036308449426337,1.6765935496502027,1.416676806667628,1.744310766652419,1.1205132939724003,1.0299441513096637,1.239904022499205,1.3893692652817857,1.3943167926192108,1.2338112041495197,1.260142810344607,1.1137664394518842,1.5585044000666257,1.5732852514722198,1.0208291292777145,1.5943451267642619,1.250545272402683,1.3676322800768972,1.0202044820114369,1.295229117727694,1.04468829101115,1.4551696099484033,1.2324575211338185,1.2489310497843455,1.5627003921407403,1.1088387761116971,1.0264749057273261,1.108299474627434,1.1991403981130326,1.010119841678708,1.5086490287070462,1.2916384808068169,1.1095766133949567,1.0467629783183734,1.0020226567283432,1.3614864578019867,1.1303770591167905,1.1281081036379832,1.0854443408336025,1.0074280961548217,1.0608092095743455,1.2051752226129477,1.0227437484833763,1.1450663071184706
25,Nonprofit Institution,Local Business Owners,Access to service,1,1.6818641425474024,1.3249714152975653,1.1560360277268793,1.1035515164811824,1.0769276262219885,1.1107956027453207,1.0087060327132793,1.4731750351894544,1.136790688025965,1.0990006343481848,1.4387399480254193,1.3316754696686144,1.4398815406749328,1.0535158115161638,1.670078010601876,1.2088873189592313,1.6286497069856614,1.1409796744736256,1.0118459273065443,1.512386765872956,1.0122679850998797,1.2272246530087252,1.1723088389558678,1.625551472952497,1.4745418947467077,1.2064807318534103,1.211283833773255,1.1058443748814595,1.0129293898918648,1.09576585106126,1.4608536673339272,1.4683818434855531,1.4062523159862828,1.1224146956098213,1.1725940396361043,1.015696733643862,1.184376723486848,1.3686966382053194,1.1766165380495448,1.3570490247236449,1.0182544027847618,1.074850788331277,1.0171434139838844,1.2733671884874935,1.1261686256146162,1.1306001809870225,1.0240484866162207,1.220301120243465,1.0062898519208165
26,Nonprofit Institution,Workforce,Employment,1,1.2582554924645195,1.0037490427561302,1.6788993440647486,1.0608427671647513,1.296796434378501,1.1036308449426337,1.6765935496502027,1.416676806667628,1.744310766652419,1.1205132939724003,1.0299441513096637,1.239904022499205,1.3893692652817857,1.3943167926192108,1.2338112041495197,1.260142810344607,1.1137664394518842,1.5585044000666257,1.5732852514722198,1.0208291292777145,1.5943451267642619,1.250545272402683,1.3676322800768972,1.0202044820114369,1.295229117727694,1.04468829101115,1.4551696099484033,1.2324575211338185,1.2489310497843455,1.5627003921407403,1.1088387761116971,1.0264749057273261,1.108299474627434,1.1991403981130326,1.010119841678708,1.5086490287070462,1.2916384808068169,1.1095766133949567,1.0467629783183734,1.0020226567283432,1.3614864578019867,1.1303770591167905,1.1281081036379832,1.0854443408336025,1.0074280961548217,1.0608092095743455,1.2051752226129477,1.0227437484833763,1.1450663071184706
27,Residents,Developer,"Finance; 
Build up area",2,2.0045059723100174,2.047592063929599,2.057754401184633,2.060924330427996,2.0698086489229865,2.0784559426246947,2.0794342007399607,2.0901498456882126,2.093539830480399,2.0943888667373356,2.0963219221959655,2.13172396262392,2.165255965717255,2.1693838054417505,2.174369467490989,2.1771765365806104,2.194280848070714,2.2117792910805276,2.3011930230250774,2.3212806068791947,2.3322900817239947,2.341237994852741,2.3729558292243276,2.4168086004265765,2.4206136735359305,2.4342697607177772,2.4693492029122233,2.4917175927523187,2.496493695798632,2.510869502585725,2.696546646094255,2.7009353316585436,2.71066888670384,2.821687476612946,2.8501933246069417,2.852943763788153,2.8826050190426105,2.896269458185962,2.925375134558724,3.0146044013348945,3.0549337917084713,3.154383373179585,3.2282162920279296,3.2710727344219084,3.28599986629155,3.287343334553956,3.330317409247143,3.3563941641522046,3.3646832568996445
28,Residents,Government,"Civic space; 
Safety & Security; 
Finance",7,7.4191625549165465,11.69895679362413,8.155452397458605,12.849240014478461,11.383931575796574,12.499014866184318,9.202902923455625,7.771037107000426,7.832289817251312,12.463402501755905,10.719211304654419,9.998943554825264,8.195244358302972,10.865171771052378,7.67277549674023,10.716789094873132,8.80308697493718,9.103611478218243,9.904081748548652,10.267488733945305,9.753708216951011,10.655610522120142,10.220412166770645,9.479708315252463,8.611602912679189,12.241816839948077,9.334825893948391,11.631886727893054,12.16697692226653,9.390736297585999,10.01215289588063,10.536002755509847,10.398137465703982,11.74911434394002,12.721002830796312,10.329579663543642,10.667893569944345,10.652087238798067,12.436343385424573,11.486498229836084,11.34181397589276,12.563405067863528,12.983239376646926,11.48831929475233,13.064822947613935,12.660134266070424,12.395434035395821,12.29868591891211,12.940506886724991
29,Residents,Local Business Owners,"Communication; 
Access to service",2,3.368234257404822,2.6975348945247295,2.3698264566383918,2.2680273633903614,2.223663901366964,2.300047148115336,2.0968462661665193,3.036499916067121,2.367121206532329,2.2923901354337053,2.9738018182468045,2.795074901961149,3.045019047067121,2.2764154284740785,3.5145254886947415,2.594951174499073,3.4515802620420373,2.493738640027779,2.3248848776381665,3.3460541386251066,2.356826051923754,2.7956873008701915,2.717573507136063,3.66791154633157,3.369697463029346,2.847231224424598,2.891916870458733,2.7034063425152377,2.5223524755823616,2.702401204708245,3.6182539807621095,3.63769901862965,3.5231735186764057,3.0665168678325885,3.195381403879151,2.884337231075877,3.2513584660163066,3.6336627345966006,3.278608210657813,3.728702450782184,3.091442597277995,3.3040849498421387,3.2625031199956984,3.8178071113968954,3.5383371175207827,3.5485436965280006,3.3784143824795843,3.7969964046391347,3.3772629607412776
30,Residents,Nonprofit Institution,Access to service,1,1.0022529861550087,1.0237960319647994,1.0288772005923166,1.030462165213998,1.0349043244614933,1.0392279713123473,1.0397171003699803,1.0450749228441063,1.0467699152401995,1.0471944333686678,1.0481609610979827,1.06586198131196,1.0826279828586276,1.0846919027208752,1.0871847337454945,1.0885882682903052,1.097140424035357,1.1058896455402638,1.1505965115125387,1.1606403034395973,1.1661450408619973,1.1706189974263705,1.1864779146121638,1.2084043002132883,1.2103068367679652,1.2171348803588886,1.2346746014561116,1.2458587963761594,1.248246847899316,1.2554347512928625,1.3482733230471275,1.3504676658292718,1.35533444335192,1.410843738306473,1.4250966623034709,1.4264718818940765,1.4413025095213052,1.448134729092981,1.462687567279362,1.5073022006674472,1.5274668958542357,1.5771916865897926,1.6141081460139648,1.6355363672109542,1.642999933145775,1.643671667276978,1.6651587046235714,1.6781970820761023,1.6823416284498223
